         53412031 function calls (52113818 primitive calls) in 434.365 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 __init__.py:70(search_function)
      104    0.001    0.000    0.002    0.000 TiffTags.py:26(__new__)
       70    0.000    0.000    0.002    0.000 fromnumeric.py:601(transpose)
      252    0.001    0.000    0.002    0.000 rcsetup.py:58(func)
        1    0.000    0.000    0.002    0.002 lil.py:1(<module>)
        1    0.000    0.000    0.002    0.002 trf.py:1(<module>)
        1    0.000    0.000    0.002    0.002 flight.py:1(<module>)
       72    0.000    0.000    0.002    0.000 pyparsing.py:1777(get)
       16    0.001    0.000    0.002    0.000 cycler.py:191(_from_iter)
      485    0.002    0.000    0.002    0.000 {built-in method _imp._fix_co_filename}
       72    0.001    0.000    0.002    0.000 pyparsing.py:1780(set)
        1    0.000    0.000    0.002    0.002 flinalg.py:5(<module>)
      510    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:781(create_module)
      510    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:971(get_filename)
        1    0.000    0.000    0.002    0.002 base64.py:3(<module>)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
       12    0.000    0.000    0.001    0.000 enum.py:124(__prepare__)
      480    0.001    0.000    0.001    0.000 artist.py:1371(<genexpr>)
        1    0.000    0.000    0.001    0.001 _string_helpers.py:1(<module>)
        7    0.000    0.000    0.001    0.000 pathlib.py:1127(home)
      466    0.001    0.000    0.001    0.000 deprecation.py:7(_deprecated)
        1    0.000    0.000    0.001    0.001 path.py:23(Path)
        2    0.000    0.000    0.001    0.001 hashlib.py:82(__get_builtin_constructor)
      154    0.001    0.000    0.001    0.000 pathlib.py:714(_format_parsed_parts)
      201    0.001    0.000    0.001    0.000 _internal.py:792(<genexpr>)
        1    0.000    0.000    0.001    0.001 patches.py:3828(FancyArrowPatch)
        7    0.000    0.000    0.001    0.000 enum.py:846(__or__)
       35    0.001    0.000    0.001    0.000 sre_parse.py:267(getuntil)
        1    0.001    0.001    0.001    0.001 _string_helpers.py:9(<listcomp>)
      432    0.001    0.000    0.001    0.000 colors.py:224(<genexpr>)
        1    0.000    0.000    0.001    0.001 patches.py:617(Shadow)
      156    0.001    0.000    0.001    0.000 enum.py:20(_is_dunder)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
      439    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.001    0.001 hemInjector.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dependencies.py:1(<module>)
        1    0.000    0.000    0.001    0.001 models.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:569(matplotlib_fname)
        1    0.000    0.000    0.001    0.001 offsetbox.py:1385(AnnotationBbox)
       83    0.001    0.000    0.001    0.000 sre_parse.py:861(_parse_flags)
      156    0.001    0.000    0.001    0.000 enum.py:28(_is_sunder)
      447    0.001    0.000    0.001    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.001    0.001 _bsplines.py:1(<module>)
       27    0.000    0.000    0.001    0.000 pyparsing.py:5098(__init__)
       76    0.001    0.000    0.001    0.000 signal.py:10(<lambda>)
       64    0.001    0.000    0.001    0.000 inspect.py:2587(__str__)
        8    0.000    0.000    0.001    0.000 pyparsing.py:5707(<genexpr>)
       53    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
       27    0.000    0.000    0.001    0.000 pathlib.py:545(_select_from)
       32    0.000    0.000    0.001    0.000 enum.py:485(_get_mixins_)
       41    0.001    0.000    0.001    0.000 deprecation.py:365(<genexpr>)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
        1    0.000    0.000    0.001    0.001 relativedelta.py:2(<module>)
        3    0.000    0.000    0.001    0.000 patches.py:1885(<listcomp>)
        1    0.000    0.000    0.001    0.001 patches.py:4184(ConnectionPatch)
        6    0.000    0.000    0.001    0.000 pyparsing.py:5705(<lambda>)
      126    0.001    0.000    0.001    0.000 colors.py:704(__init__)
       23    0.000    0.000    0.001    0.000 rcsetup.py:347(validate_color_or_auto)
       48    0.001    0.000    0.001    0.000 lapack.py:834(backtickrepl)
       10    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(mean)
       10    0.000    0.000    0.001    0.000 common.py:43(validate_tol)
        4    0.000    0.000    0.001    0.000 __init__.py:590(gen_candidates)
        1    0.000    0.000    0.001    0.001 _ccallback.py:1(<module>)
       51    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.generic' objects}
      134    0.001    0.000    0.001    0.000 textwrap.py:474(predicate)
       84    0.001    0.000    0.001    0.000 inspect.py:1734(_signature_get_user_defined_method)
       10    0.000    0.000    0.001    0.000 extras.py:235(__init__)
        1    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
      144    0.001    0.000    0.001    0.000 pyparsing.py:2599(__hash__)
        5    0.000    0.000    0.001    0.000 backend_bases.py:1580(_check_savefig_extra_args)
        1    0.000    0.000    0.001    0.001 polar.py:776(PolarAxes)
      415    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.001    0.001 _trustregion_dogleg.py:1(<module>)
        1    0.000    0.000    0.001    0.001 backend_bases.py:2785(NavigationToolbar2)
    65/22    0.000    0.000    0.001    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 shlex.py:1(<module>)
      143    0.001    0.000    0.001    0.000 inspect.py:64(ismodule)
       26    0.001    0.000    0.001    0.000 {built-in method posix.open}
        2    0.000    0.000    0.001    0.001 pyparsing.py:5329(delimitedList)
       10    0.000    0.000    0.001    0.000 extras.py:239(getdoc)
      307    0.001    0.000    0.001    0.000 __init__.py:722(__iter__)
        1    0.000    0.000    0.001    0.001 Isp.py:1(<module>)
        3    0.000    0.000    0.001    0.000 patches.py:1878(<listcomp>)
       86    0.000    0.000    0.001    0.000 pyparsing.py:4091(<genexpr>)
        1    0.000    0.000    0.001    0.001 backend_bases.py:121(RendererBase)
        1    0.000    0.000    0.001    0.001 backend_agg.py:71(RendererAgg)
       18    0.000    0.000    0.001    0.000 core.py:998(__init__)
        1    0.000    0.000    0.001    0.001 _parser.py:58(_timelex)
       40    0.001    0.000    0.001    0.000 colors.py:889(__init__)
      104    0.001    0.000    0.001    0.000 codecs.py:319(decode)
        1    0.001    0.001    0.001    0.001 _compat_pickle.py:9(<module>)
        4    0.000    0.000    0.001    0.000 enum.py:809(_missing_)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:114(_add_aliases)
        1    0.000    0.000    0.001    0.001 cobyla.py:1(<module>)
        2    0.000    0.000    0.001    0.001 helper.py:1(<module>)
        1    0.000    0.000    0.001    0.001 CoolProp.pyx:1(__Pyx_PyMODINIT_FUNC PyInit_CoolProp(void))
      394    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.001    0.001 histograms.py:1(<module>)
        1    0.000    0.000    0.001    0.001 linesearch.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lbfgsb.py:1(<module>)
      114    0.001    0.000    0.001    0.000 types.py:171(__get__)
        4    0.000    0.000    0.001    0.000 enum.py:816(_create_pseudo_member_)
      359    0.001    0.000    0.001    0.000 sre_compile.py:453(_get_iscased)
       10    0.000    0.000    0.001    0.000 _ode.py:362(set_initial_value)
       83    0.001    0.000    0.001    0.000 pyparsing.py:2828(__init__)
        1    0.000    0.000    0.001    0.001 legend.py:269(Legend)
        5    0.000    0.000    0.001    0.000 typing.py:676(__init__)
    65/22    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       28    0.000    0.000    0.001    0.000 inspect.py:1852(_signature_is_builtin)
        2    0.000    0.000    0.001    0.001 __init__.py:456(_get_config_or_cache_dir)
       25    0.000    0.000    0.001    0.000 pyparsing.py:4841(__init__)
      121    0.001    0.000    0.001    0.000 pyparsing.py:1628(preParse)
        5    0.000    0.000    0.001    0.000 shutil.py:111(_fastcopy_sendfile)
        1    0.000    0.000    0.001    0.001 __init__.py:486(get_configdir)
       36    0.000    0.000    0.001    0.000 pyparsing.py:2870(__init__)
        1    0.000    0.000    0.001    0.001 ufunclike.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _spherical_voronoi.py:1(<module>)
        1    0.000    0.000    0.001    0.001 quadpack.py:3(<module>)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 animation.py:408(FileMovieWriter)
       10    0.000    0.000    0.001    0.000 fromnumeric.py:3269(mean)
       46    0.000    0.000    0.001    0.000 pathlib.py:741(__fspath__)
      316    0.001    0.000    0.001    0.000 overrides.py:124(array_function_dispatch)
        1    0.000    0.000    0.001    0.001 _linprog_rs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _validation.py:1(<module>)
        1    0.000    0.000    0.001    0.001 odepack.py:3(<module>)
       67    0.001    0.000    0.001    0.000 units.py:61(add_user_units)
        1    0.000    0.000    0.001    0.001 trf_linear.py:1(<module>)
       41    0.001    0.000    0.001    0.000 <__array_function__ internals>:2(result_type)
       33    0.000    0.000    0.001    0.000 contextlib.py:121(__exit__)
       15    0.000    0.000    0.001    0.000 arrayprint.py:1473(_array_str_implementation)
        1    0.000    0.000    0.001    0.001 slsqp.py:1(<module>)
       20    0.000    0.000    0.001    0.000 colors.py:929(reversed)
        1    0.001    0.001    0.001    0.001 __init__.py:334(<listcomp>)
        1    0.000    0.000    0.001    0.001 zeros.py:1(<module>)
      104    0.001    0.000    0.001    0.000 font_manager.py:343(__init__)
        1    0.000    0.000    0.001    0.001 spines.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tricontour.py:1(<module>)
        4    0.000    0.000    0.001    0.000 enum.py:888(_decompose)
        1    0.000    0.000    0.001    0.001 tz.py:1470(__get_gettz)
      107    0.001    0.000    0.001    0.000 inspect.py:81(ismethod)
       60    0.001    0.000    0.001    0.000 afm.py:81(_to_bool)
      188    0.001    0.000    0.001    0.000 colors.py:850(<listcomp>)
      307    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       30    0.000    0.000    0.001    0.000 getlimits.py:40(<lambda>)
       16    0.000    0.000    0.001    0.000 pyparsing.py:4278(__str__)
        1    0.000    0.000    0.001    0.001 _nnls.py:1(<module>)
        4    0.000    0.000    0.001    0.000 numerictypes.py:569(find_common_type)
       25    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
        8    0.000    0.000    0.001    0.000 pathlib.py:963(__truediv__)
       16    0.000    0.000    0.001    0.000 subprocess.py:1747(<genexpr>)
       31    0.000    0.000    0.001    0.000 os.py:674(__getitem__)
       10    0.000    0.000    0.001    0.000 _methods.py:143(_mean)
        1    0.000    0.000    0.001    0.001 tnc.py:25(<module>)
        1    0.000    0.000    0.001    0.001 font_manager.py:1041(<listcomp>)
       10    0.000    0.000    0.001    0.000 base.py:115(__init__)
      255    0.001    0.000    0.001    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.001    0.001 patches.py:1185(Arrow)
        1    0.000    0.000    0.001    0.001 pyplot.py:2172(<listcomp>)
        2    0.001    0.000    0.001    0.000 {built-in method posix.read}
        1    0.001    0.001    0.001    0.001 tz.py:1475(GettzFunc)
        2    0.000    0.000    0.001    0.000 typing.py:817(__getitem__)
        1    0.000    0.000    0.001    0.001 spines.py:11(Spine)
       15    0.000    0.000    0.001    0.000 arrayprint.py:461(wrapper)
        1    0.000    0.000    0.001    0.001 patches.py:1551(Arc)
       32    0.001    0.000    0.001    0.000 enum.py:496(_find_data_type)
        4    0.000    0.000    0.001    0.000 pyparsing.py:2176(__radd__)
        8    0.000    0.000    0.001    0.000 pathlib.py:725(_make_child)
       19    0.000    0.000    0.001    0.000 __init__.py:2271(_check_shape)
        1    0.000    0.000    0.001    0.001 _lsap.py:12(<module>)
      103    0.001    0.000    0.001    0.000 inspect.py:2260(<lambda>)
        1    0.000    0.000    0.001    0.001 _ellip_harm.py:1(<module>)
        8    0.000    0.000    0.001    0.000 core.py:8094(__init__)
       10    0.001    0.000    0.001    0.000 {built-in method posix.sendfile}
       32    0.001    0.000    0.001    0.000 __init__.py:1323(_fixupParents)
       11    0.001    0.000    0.001    0.000 decorator.py:150(update)
      282    0.001    0.000    0.001    0.000 pyparsing.py:3144(<genexpr>)
        1    0.000    0.000    0.001    0.001 orthogonal.py:1(<module>)
       51    0.000    0.000    0.001    0.000 numeric.py:1816(isscalar)
       88    0.001    0.000    0.001    0.000 six.py:141(__init__)
       12    0.000    0.000    0.001    0.000 _bsplines.py:24(_as_float_array)
        8    0.000    0.000    0.001    0.000 numerictypes.py:545(_can_coerce_all)
       97    0.001    0.000    0.001    0.000 pyparsing.py:5705(<genexpr>)
        1    0.000    0.000    0.001    0.001 _parser.py:575(__init__)
        1    0.000    0.000    0.001    0.001 mathtext.py:1863(Glue)
      102    0.001    0.000    0.001    0.000 patches.py:1878(<genexpr>)
       33    0.000    0.000    0.001    0.000 __init__.py:1392(__init__)
        1    0.000    0.000    0.001    0.001 _parser.py:300(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:505(get_cachedir)
        1    0.000    0.000    0.001    0.001 __init__.py:215(<listcomp>)
       54    0.001    0.000    0.001    0.000 pyparsing.py:3370(__str__)
       37    0.000    0.000    0.001    0.000 rcsetup.py:558(_validate_linestyle)
      112    0.001    0.000    0.001    0.000 patches.py:1885(<genexpr>)
        1    0.000    0.000    0.001    0.001 backend_managers.py:1(<module>)
        6    0.000    0.000    0.001    0.000 deprecation.py:272(__set_name__)
        2    0.000    0.000    0.001    0.000 typing.py:831(__getitem_inner__)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       26    0.000    0.000    0.001    0.000 pathlib.py:855(stem)
        1    0.000    0.000    0.001    0.001 mixins.py:1(<module>)
       51    0.000    0.000    0.001    0.000 rcsetup.py:407(validate_fontsize)
        1    0.000    0.000    0.001    0.001 polar.py:407(RadialLocator)
        8    0.000    0.000    0.001    0.000 core.py:8099(getdoc)
        1    0.000    0.000    0.001    0.001 quiver.py:1(<module>)
       13    0.000    0.000    0.001    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        7    0.000    0.000    0.001    0.000 _parser.py:315(_convert)
      183    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
       14    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(argsort)
      257    0.001    0.000    0.001    0.000 hmac.py:18(<genexpr>)
        1    0.000    0.000    0.001    0.001 stride_tricks.py:1(<module>)
       10    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(diff)
        1    0.000    0.000    0.001    0.001 ticker.py:1689(Locator)
       44    0.000    0.000    0.001    0.000 font_manager.py:439(get_weight)
       11    0.000    0.000    0.001    0.000 {method 'sort' of 'list' objects}
      257    0.001    0.000    0.001    0.000 hmac.py:19(<genexpr>)
       26    0.000    0.000    0.001    0.000 core.py:922(__init__)
       75    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:46(_pack_uint32)
        1    0.000    0.000    0.001    0.001 mixins.py:59(NDArrayOperatorsMixin)
      107    0.001    0.000    0.001    0.000 rcsetup.py:65(__call__)
        1    0.000    0.000    0.001    0.001 __init__.py:411(<listcomp>)
        1    0.000    0.000    0.001    0.001 axes3d.py:44(Axes3D)
      238    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_iscased}
       10    0.000    0.000    0.001    0.000 base.py:4(check_arguments)
        2    0.000    0.000    0.001    0.000 decorator.py:238(decorator)
       12    0.000    0.000    0.001    0.000 enum.py:528(_find_new_)
       10    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(amax)
       16    0.000    0.000    0.001    0.000 _type_aliases.py:78(bitname)
        1    0.000    0.000    0.001    0.001 transforms.py:213(BboxBase)
       14    0.000    0.000    0.001    0.000 getlimits.py:366(__new__)
        1    0.000    0.000    0.001    0.001 bezier.py:1(<module>)
        3    0.000    0.000    0.001    0.000 pyparsing.py:1567(addParseAction)
        1    0.000    0.000    0.001    0.001 patches.py:1242(FancyArrow)
      183    0.001    0.000    0.001    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.001    0.001 numbers.py:4(<module>)
      224    0.001    0.000    0.001    0.000 font_manager.py:545(<genexpr>)
        1    0.000    0.000    0.001    0.001 animation.py:96(MovieWriterRegistry)
        1    0.000    0.000    0.001    0.001 decomp_schur.py:1(<module>)
        1    0.000    0.000    0.001    0.001 argparse.py:4(<module>)
        1    0.000    0.000    0.001    0.001 einsumfunc.py:1(<module>)
       13    0.000    0.000    0.001    0.000 abc.py:89(register)
      106    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.001    0.001 fitpack2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _secondary_axes.py:1(<module>)
       21    0.000    0.000    0.001    0.000 re.py:325(_subx)
      226    0.001    0.000    0.001    0.000 {method 'is_dir' of 'posix.DirEntry' objects}
       19    0.000    0.000    0.001    0.000 path.py:193(_update_values)
        6    0.000    0.000    0.001    0.000 pyparsing.py:2414(__call__)
      212    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 colorbar.py:1186(Colorbar)
      167    0.001    0.000    0.001    0.000 {built-in method fromkeys}
        8    0.001    0.000    0.001    0.000 stringsource:45(__pyx_convert_vector_from_py_double)
        8    0.000    0.000    0.001    0.000 _bsplines.py:598(_process_deriv_spec)
      166    0.001    0.000    0.001    0.000 colors.py:521(__init__)
       72    0.000    0.000    0.001    0.000 linecache.py:147(lazycache)
       87    0.001    0.000    0.001    0.000 docstring.py:38(__call__)
        1    0.000    0.000    0.001    0.001 patches.py:2812(ArrowStyle)
      213    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
        5    0.000    0.000    0.001    0.000 pyparsing.py:1490(_setResultsName)
        1    0.000    0.000    0.001    0.001 _secondary_axes.py:37(SecondaryAxis)
       31    0.000    0.000    0.001    0.000 typing.py:650(__setattr__)
        2    0.000    0.000    0.001    0.000 typing.py:845(__getitem__)
        2    0.000    0.000    0.001    0.000 __init__.py:1778(_lock_path)
       16    0.000    0.000    0.001    0.000 cycler.py:112(__init__)
       60    0.000    0.000    0.001    0.000 afm.py:479(get_familyname)
      212    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.001    0.001 getlimits.py:1(<module>)
       33    0.000    0.000    0.001    0.000 contextlib.py:242(helper)
       44    0.000    0.000    0.001    0.000 pyparsing.py:4283(<genexpr>)
       10    0.000    0.000    0.001    0.000 ivp.py:644(<listcomp>)
        1    0.000    0.000    0.001    0.001 polar.py:225(ThetaLocator)
       13    0.000    0.000    0.001    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.001    0.001 assumptions.py:1(<module>)
       26    0.000    0.000    0.001    0.000 pathlib.py:1087(_make_child_relpath)
       10    0.000    0.000    0.001    0.000 ivp.py:643(<listcomp>)
       59    0.000    0.000    0.001    0.000 _inspect.py:144(<lambda>)
       58    0.000    0.000    0.001    0.000 utf_16_be.py:15(decode)
      210    0.001    0.000    0.001    0.000 pathlib.py:310(casefold_parts)
       10    0.000    0.000    0.001    0.000 combustion.py:41(initializeState)
       28    0.000    0.000    0.001    0.000 inspect.py:1864(_signature_is_functionlike)
       10    0.000    0.000    0.001    0.000 pyparsing.py:4672(__init__)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 backend_managers.py:39(ToolManager)
       19    0.000    0.000    0.001    0.000 __init__.py:1281(_to_unmasked_float_array)
      159    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.001    0.001 rrule.py:2(<module>)
        1    0.000    0.000    0.001    0.001 scale.py:560(LogitScale)
      179    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 triinterpolate.py:1(<module>)
       20    0.000    0.000    0.001    0.000 _ode.py:1288(reset)
       37    0.000    0.000    0.001    0.000 os.py:754(encode)
        2    0.000    0.000    0.001    0.000 re.py:315(_compile_repl)
        4    0.000    0.000    0.001    0.000 polyint.py:49(__init__)
       28    0.000    0.000    0.001    0.000 locale.py:653(getpreferredencoding)
        1    0.000    0.000    0.001    0.001 bsr.py:1(<module>)
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:443(_calc_mode)
        2    0.000    0.000    0.001    0.000 sre_parse.py:969(parse_template)
       24    0.000    0.000    0.001    0.000 linecache.py:52(checkcache)
      176    0.001    0.000    0.001    0.000 font_manager.py:543(<genexpr>)
      176    0.001    0.000    0.001    0.000 font_manager.py:473(<genexpr>)
       25    0.000    0.000    0.001    0.000 _util.py:336(<genexpr>)
        1    0.000    0.000    0.001    0.001 axis3d.py:5(<module>)
        1    0.000    0.000    0.001    0.001 core.py:6439(__new__)
        1    0.000    0.000    0.001    0.001 datetime.py:2216(timezone)
       50    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.001    0.001 _cm.py:1(<module>)
       12    0.000    0.000    0.001    0.000 _bsplines.py:16(_get_dtype)
       11    0.000    0.000    0.001    0.000 pyparsing.py:5454(_escapeRegexRangeChars)
       13    0.000    0.000    0.001    0.000 mixins.py:44(_numeric_methods)
        4    0.000    0.000    0.001    0.000 polyint.py:107(_set_yi)
       10    0.000    0.000    0.001    0.000 ivp.py:28(prepare_events)
        2    0.000    0.000    0.001    0.000 datetime.py:665(__neg__)
        1    0.000    0.000    0.001    0.001 records.py:1(<module>)
       10    0.000    0.000    0.001    0.000 function_base.py:1152(diff)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1644(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 patches.py:1909(BoxStyle)
      176    0.000    0.000    0.000    0.000 font_manager.py:477(<genexpr>)
        1    0.000    0.000    0.000    0.000 scale.py:204(LogTransform)
      4/2    0.000    0.000    0.000    0.000 pathlib.py:1307(mkdir)
        1    0.000    0.000    0.000    0.000 patches.py:883(RegularPolygon)
        1    0.000    0.000    0.000    0.000 backend_tools.py:31(Cursors)
        3    0.000    0.000    0.000    0.000 datetime.py:1602(__new__)
       11    0.000    0.000    0.000    0.000 typing.py:121(_type_check)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:138(_family)
       11    0.000    0.000    0.000    0.000 decorator.py:175(<listcomp>)
        9    0.000    0.000    0.000    0.000 deprecation.py:433(<listcomp>)
      149    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        2    0.000    0.000    0.000    0.000 subprocess.py:1203(_close_pipe_fds)
        1    0.000    0.000    0.000    0.000 __init__.py:516(get_data_path)
      140    0.000    0.000    0.000    0.000 deprecation.py:112(deprecated)
        2    0.000    0.000    0.000    0.000 typing.py:813(copy_with)
        1    0.000    0.000    0.000    0.000 mathtext.py:261(MathtextBackendPdf)
       12    0.000    0.000    0.000    0.000 __init__.py:1893(get_aliased_and_aliases)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1577(addCondition)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:675(get)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:216(_logged_cached)
      149    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       49    0.000    0.000    0.000    0.000 pyparsing.py:593(__getitem__)
        6    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
       14    0.000    0.000    0.000    0.000 fromnumeric.py:999(argsort)
       10    0.000    0.000    0.000    0.000 fromnumeric.py:2589(amax)
        1    0.000    0.000    0.000    0.000 lines.py:200(Line2D)
      2/1    0.000    0.000    0.000    0.000 typing.py:314(__getitem__)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:65(_bits_of)
        1    0.000    0.000    0.000    0.000 typing.py:426(Optional)
       59    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        5    0.000    0.000    0.000    0.000 typing.py:614(__init__)
       44    0.000    0.000    0.000    0.000 {method 'get_sfnt_table' of 'matplotlib.ft2font.FT2Font' objects}
        7    0.000    0.000    0.000    0.000 pyparsing.py:4775(__init__)
        1    0.000    0.000    0.000    0.000 _cm.py:158(<dictcomp>)
      117    0.000    0.000    0.000    0.000 fromnumeric.py:71(<dictcomp>)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1656(DraggableBase)
        1    0.000    0.000    0.000    0.000 pyparsing.py:288(conditionAsParseAction)
        1    0.000    0.000    0.000    0.000 patches.py:1375(Ellipse)
       42    0.000    0.000    0.000    0.000 docstring.py:43(update)
       46    0.000    0.000    0.000    0.000 six.py:105(__init__)
      138    0.000    0.000    0.000    0.000 pyparsing.py:2450(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cm.py:211(ScalarMappable)
       25    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        1    0.000    0.000    0.000    0.000 patches.py:698(Rectangle)
      144    0.000    0.000    0.000    0.000 pyparsing.py:4026(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:183(<listcomp>)
        1    0.000    0.000    0.000    0.000 mathtext.py:219(MathtextBackendPs)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1366(MouseButton)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
      140    0.000    0.000    0.000    0.000 fromnumeric.py:3117(size)
        2    0.000    0.000    0.000    0.000 typing.py:778(copy_with)
        1    0.000    0.000    0.000    0.000 transforms.py:1746(Affine2DBase)
      141    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
        1    0.000    0.000    0.000    0.000 scale.py:515(LogitTransform)
       14    0.000    0.000    0.000    0.000 rcsetup.py:623(validate_capstyle)
       21    0.000    0.000    0.000    0.000 pyparsing.py:3225(__str__)
      106    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
      116    0.000    0.000    0.000    0.000 pyparsing.py:2545(__str__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
      104    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pyplot.py:794(close)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:537(_get_data_path)
       31    0.000    0.000    0.000    0.000 typing.py:602(_is_dunder)
       28    0.000    0.000    0.000    0.000 inspect.py:91(ismethoddescriptor)
        7    0.000    0.000    0.000    0.000 blas.py:370(getter)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomp.py:16(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:39(<lambda>)
      134    0.000    0.000    0.000    0.000 six.py:88(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:437(_get_xdg_config_dir)
        2    0.000    0.000    0.000    0.000 getlimits.py:399(_init)
      138    0.000    0.000    0.000    0.000 pyparsing.py:1643(postParse)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        2    0.000    0.000    0.000    0.000 blas.py:363(_memoize_get_funcs)
       24    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        3    0.000    0.000    0.000    0.000 rcsetup.py:701(_validate_hinting)
