         53412031 function calls (52113818 primitive calls) in 434.365 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   321118    2.946    0.000    5.322    0.000 <__array_function__ internals>:2(dot)
    62526    0.583    0.000    5.173    0.000 <__array_function__ internals>:2(norm)
  1617350    5.148    0.000    5.148    0.000 {method 'ravel' of 'numpy.ndarray' objects}
1676559/1675506    4.940    0.000    4.946    0.000 {built-in method builtins.len}
       64    0.017    0.000    4.844    0.076 __init__.py:1(<module>)
     6560    0.298    0.000    4.713    0.001 cea_obj_w_units.py:16(__init__)
    13120    0.356    0.000    4.243    0.000 separated_Cf.py:36(sepNozzleCf)
    62526    1.412    0.000    3.996    0.000 linalg.py:2363(norm)
  1104470    3.828    0.000    3.828    0.000 {method 'astype' of 'numpy.ndarray' objects}
     6560    0.142    0.000    3.502    0.001 cea_obj_w_units.py:121(get_IvacCstrTc_ThtMwGam)
       60    0.671    0.011    3.475    0.058 afm.py:186(_parse_char_metrics)
     6560    0.096    0.000    3.443    0.001 cea_obj_w_units.py:261(get_Chamber_Cp)
     6560    0.095    0.000    3.411    0.001 cea_obj_w_units.py:244(get_Chamber_Density)
     6560    0.048    0.000    3.292    0.001 cea_obj.py:1216(get_Chamber_Cp)
     6560    0.070    0.000    3.267    0.000 cea_obj_w_units.py:158(get_PcOvPe)
     6560    0.094    0.000    3.262    0.000 cea_obj.py:780(get_IvacCstrTc_ThtMwGam)
     6560    0.047    0.000    3.260    0.000 cea_obj.py:1183(get_Chamber_Density)
     6560    0.141    0.000    3.244    0.000 cea_obj.py:1195(get_HeatCapacities)
    26240    3.137    0.000    3.222    0.000 Isp.py:4(CalcPCoPE)
     6560    0.123    0.000    3.213    0.000 cea_obj.py:1162(get_Densities)
     6560    0.068    0.000    3.172    0.000 cea_obj.py:870(get_PcOvPe)
     6560    0.583    0.000    2.955    0.000 cea_obj.py:182(__init__)
   777450    2.930    0.000    2.930    0.000 {built-in method numpy.empty}
36263/35939    0.351    0.000    2.833    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
   777410    2.687    0.000    2.687    0.000 _bsplines.py:352(_ensure_c_contiguous)
   908463    2.638    0.000    2.638    0.000 ambiance.py:279(H)
   777414    2.574    0.000    2.574    0.000 _util.py:144(prod)
   454/78    0.003    0.000    2.564    0.033 {built-in method builtins.__import__}
   860801    2.547    0.000    2.547    0.000 assumptions.py:11(get)
    17823    0.556    0.000    2.524    0.000 states.py:3(applyModelStates)
   855024    2.499    0.000    2.499    0.000 ambiance.py:284(layer_nums)
   836407    2.412    0.000    2.412    0.000 stringsource:13(__pyx_convert_string_from_py_std__in_string)
       60    0.002    0.000    2.372    0.040 afm.py:326(_parse_optional)
   530741    2.234    0.000    2.234    0.000 {built-in method numpy.zeros}
       46    0.622    0.014    2.017    0.044 afm.py:240(_parse_kern_pairs)
   627291    1.946    0.000    1.946    0.000 CoolProp.pyx:109(iterable)
   499572    1.859    0.000    1.859    0.000 cea_obj.py:84(set_py_cea_line)
    32800    0.319    0.000    1.833    0.000 cea_obj.py:350(maybe_copy)
   107531    1.079    0.000    1.801    0.000 afm.py:57(_to_float)
    17813    0.903    0.000    1.772    0.000 rellipsoid.py:382(get_analytic_gravity)
       10    0.000    0.000    1.640    0.164 ivp.py:81(handle_events)
       10    0.000    0.000    1.637    0.164 ivp.py:108(<listcomp>)
       10    0.000    0.000    1.637    0.164 ivp.py:53(solve_event_equation)
       67    0.001    0.000    1.636    0.024 ivp.py:77(<lambda>)
   516579    1.502    0.000    1.502    0.000 multiarray.py:1043(copyto)
   516577    1.493    0.000    1.493    0.000 numeric.py:71(_zeros_like_dispatcher)
   516577    1.493    0.000    1.493    0.000 multiarray.py:75(empty_like)
    65600    0.633    0.000    1.461    0.000 units.py:216(get_units_obj)
    14228    0.131    0.000    1.227    0.000 afm.py:77(_to_list_of_floats)
     2272    0.068    0.000    1.205    0.001 cea_obj.py:674(get_IvacCstrTc)
    32949    0.542    0.000    1.123    0.000 posixpath.py:71(join)
    14228    0.217    0.000    1.052    0.000 afm.py:78(<listcomp>)
       11    0.000    0.000    0.956    0.087 artist.py:1613(kwdoc)
   321118    0.940    0.000    0.940    0.000 multiarray.py:706(dot)
   103029    0.908    0.000    0.908    0.000 falloffs.py:4(sigmoid)
    71255    0.550    0.000    0.884    0.000 afm.py:217(<genexpr>)
    17813    0.422    0.000    0.865    0.000 passiveVent.py:23(computeDerivedVariables)
        1    0.000    0.000    0.862    0.862 figure.py:1(<module>)
    17813    0.450    0.000    0.802    0.000 drag.py:8(getDragCoefficient)
   208155    0.733    0.000    0.733    0.000 cea_obj.py:437(make_inp_str)
     2667    0.365    0.000    0.705    0.000 inspect.py:626(cleandoc)
       11    0.005    0.000    0.663    0.060 artist.py:1386(pprint_setters)
